0	movie_platform||lists||user_id: user id. ID related to the user who created the list.
1	movie_platform||lists||list_id: list id. ID of the list on Mubi
2	movie_platform||lists||list_title: list title. Name of the list
3	movie_platform||lists||list_movie_number: list movie number. Number of movies added to the list
4	movie_platform||lists||list_update_timestamp_utc: list update timestamp utc. Last update timestamp for the list. ['2020-04-27 06:04:22']
5	movie_platform||lists||list_creation_timestamp_utc: list creation timestamp utc. Creation timestamp for the list. ['2011-06-27 22:03:49']
6	movie_platform||lists||list_followers: list followers. Number of followers on the list
7	movie_platform||lists||list_url: list url. URL to the list page on Mubi
8	movie_platform||lists||list_comments: list comments. Number of comments on the list
9	movie_platform||lists||list_description: list description. List description made by the user
10	movie_platform||lists||list_cover_image_url: list cover image url. 
11	movie_platform||lists||list_first_image_url: list first image url. 
12	movie_platform||lists||list_second_image_url: list second image url. 
13	movie_platform||lists||list_third_image_url: list third image url. 
14	movie_platform||movies||movie_id: movie id. ID related to the movie on Mubi
15	movie_platform||movies||movie_title: movie title. Name of the movie
16	movie_platform||movies||movie_release_year: movie release year. Release year of the movie
17	movie_platform||movies||movie_url: movie url. URL to the movie page on Mubi
18	movie_platform||movies||movie_title_language: movie title language. By default, the title is in English.. ['en']. Only contains one value which is 'en'
19	movie_platform||movies||movie_popularity: movie popularity. Number of Mubi users who love this movie
20	movie_platform||movies||movie_image_url: movie image url. Image URL to the movie on Mubi
21	movie_platform||movies||director_id: director id. ID related to the movie director on Mubi
22	movie_platform||movies||director_name: director name. Full Name of the movie director
23	movie_platform||movies||director_url: director url. URL to the movie director page on Mubi
24	movie_platform||ratings_users||user_id: user id. ID related to the user rating the movie
25	movie_platform||ratings_users||rating_date_utc: rating date utc. Rating date for the movie rating.. ['2019-01-24']. YYYY-MM-DD
26	movie_platform||ratings_users||user_trialist: user trialist. whether the user was a trialist when he rated the movie. [None, 0, 1]. 1 = the user was a trialist when he rated the movie  0 = the user was not a trialist when he rated the movie
27	movie_platform||ratings_users||user_subscriber: user subscriber. whether the user was a subscriber when he rated the movie. [None, 0, 1]. 1 = the user was a subscriber when he rated the movie  0 = the user was not a subscriber when he rated the movie
28	movie_platform||ratings_users||user_avatar_image_url: user avatar image url. URL to the user profile image on Mubi
29	movie_platform||ratings_users||user_cover_image_url: user cover image url. URL to the user profile cover image on Mubi
30	movie_platform||ratings_users||user_eligible_for_trial: user eligible for trial. whether the user was eligible for trial when he rated the movie. [None, 1, 0]. 1 = the user was eligible for trial when he rated the movie  0 = the user was not eligible for trial when he rated the movie
31	movie_platform||ratings_users||user_has_payment_method: user has payment method. whether the user was a paying subscriber when he rated the movie. [None, 0, 1]. 1 = the user was a paying subscriber when he rated the movie  0 = the user was not a paying subscriber when he rated
32	movie_platform||lists_users||user_id: user id. ID related to the user who created the list.
33	movie_platform||lists_users||list_id: list id. ID of the list on Mubi
34	movie_platform||lists_users||list_update_date_utc: list update date utc. Last update date for the list. ['2020-04-27']. YYYY-MM-DD
35	movie_platform||lists_users||list_creation_date_utc: list creation date utc. Creation date for the list. ['2016-01-03']. YYYY-MM-DD
36	movie_platform||lists_users||user_trialist: user trialist. whether the user was a tralist when he created the list. [0, 1]. 1 = the user was a trialist when he created the list  0 = the user was not a trialist when he created the list
37	movie_platform||lists_users||user_subscriber: user subscriber. whether the user was a subscriber when he created the list. [0, 1]. 1 = the user was a subscriber when he created the list  0 = the user was not a subscriber when he created the list
38	movie_platform||lists_users||user_avatar_image_url: user avatar image url. User profile image URL on Mubi
39	movie_platform||lists_users||user_cover_image_url: user cover image url. User profile cover image URL on Mubi
40	movie_platform||lists_users||user_eligible_for_trial: user eligible for trial. whether the user was eligible for trial when he created the list. ['1', '0']. 1 = the user was eligible for trial when he created the list  0 = the user was not eligible for trial when he created the list
41	movie_platform||lists_users||user_has_payment_method: user has payment method. whether the user was a paying subscriber when he created the list. ['0', '1']. 1 = the user was a paying subscriber when he created the list  0 = the user was not a paying subscriber when he created the list
42	movie_platform||ratings||movie_id: movie id. Movie ID related to the rating
43	movie_platform||ratings||rating_id: rating id. Rating ID on Mubi
44	movie_platform||ratings||rating_url: rating url. URL to the rating on Mubi
45	movie_platform||ratings||rating_score: rating score. Rating score ranging from 1 (lowest) to 5 (highest). [None, 4, 3, 5, 2, 1]. commonsense evidence: The score is proportional to the user's liking. The higher the score is, the more the user likes the movie
46	movie_platform||ratings||rating_timestamp_utc: rating timestamp utc. Timestamp for the movie rating made by the user on Mubi. ['2019-07-22 11:34:51']
47	"movie_platform||ratings||critic: Critic made by the user rating the movie.. If value = ""None"", the user did not write a critic when rating the movie."
48	movie_platform||ratings||critic_likes: critic likes. Number of likes related to the critic made by the user rating the movie
49	movie_platform||ratings||critic_comments: critic comments. Number of comments related to the critic made by the user rating the movie
50	movie_platform||ratings||user_id: user id. ID related to the user rating the movie
51	movie_platform||ratings||user_trialist: user trialist. whether user was a tralist when he rated the movie. [None, 0, 1]. 1 = the user was a trialist when he rated the movie  0 = the user was not a trialist when he rated the movie
52	movie_platform||ratings||user_subscriber: user subscriber. . [None, 0, 1]
53	movie_platform||ratings||user_eligible_for_trial: user eligible for trial. . [None, 1, 0]
54	movie_platform||ratings||user_has_payment_method: user has payment method. . [None, 0, 1]
55	book_publishing_company||authors||au_id: author id. unique number identifying authors. ['172-32-1176', '213-46-8915', '238-95-7766', '267-41-2394', '274-80-9391']
56	book_publishing_company||authors||au_lname: author last name. ['Ringer', 'del Castillo', 'Yokomoto', 'White', 'Stringer']
57	book_publishing_company||authors||au_fname: author first name. ['Sylvia', 'Stearns', 'Sheryl', 'Reginald', 'Morningstar']
58	book_publishing_company||authors||phone: phone number. ['801 826-0752', '415 836-7128', '913 843-0462', '707 938-6445', '707 448-4982']
59	book_publishing_company||authors||address: ['67 Seventh Av.', '3410 Blonde St.', 'PO Box 792', '6223 Bateman St.', '589 Darwin Ln.']
60	book_publishing_company||authors||city: ['Oakland', 'Salt Lake City', 'Palo Alto', 'Berkeley', 'Walnut Creek']
61	book_publishing_company||authors||state: ['CA', 'UT', 'TN', 'OR', 'MI']
