0	Name movie titles released in year 1945. Sort the listing by the descending order of movie popularity. released in the year 1945 refers to movie_release_year = 1945;
1	State the most popular movie? When was it released and who is the director for the movie?. most popular movie refers to MAX(movie_popularity); when it was released refers to movie_release_year; director for the movie refers to director_name;
2	What is the name of the longest movie title? When was it released?. longest movie title refers to MAX(LENGTH(movie_title)); when it was released refers to movie_release_year;
3	Name the movie with the most ratings. movie with the most rating refers to MAX(SUM(rating_score));
4	What is the average number of Mubi users who love movies directed by Stanley Kubrick?. average = AVG(movie_popularity); number of Mubi users who loves the movie refers to movie_popularity;
5	What is the average rating for movie titled 'When Will I Be Loved'?. average rating = DIVIDE((SUM(rating_score where movie_title = 'When Will I Be Loved')), COUNT(rating_score));
6	What is the user avatar url for user 41579158? What is the latest movie rated by him / her?. user avatar url refers to user_avatar_image_url; latest movie rated refers to latest rating_date;
7	What is the percentage of the ratings were rated by user who was a subcriber?. user is a subscriber refers to user_subscriber = 1; percentage of ratings = DIVIDE(SUM(user_subscriber = 1), SUM(rating_score)) as percent;
8	List all movie title rated in April 2020 from user who was a trialist. movie title rated in April 2020 refers to rating_timestamp_utc LIKE '%2020-04-%'; user is a trial list refers to user_trialist = 1;
9	List ther users who gave the worst rating for movie 'Love Will Tear Us Apart'. worst rating refers to rating_score = 1;
10	List all movies with the best rating score. State the movie title and number of Mubi user who loves the movie. best rating score refers to rating_score = 5; number of Mubi user who loves the movie refers to movie_popularity;
11	For all ratings which are rated in year 2020, name the movies which has the rating scored 4 and above. ratings in year 2020 refers to rating_timestamp_utc like '%2020%'; rating_score > = 4;
12	For all movies where users left a critic, find the movie name, user, rating and critics comments from the user. movies where users left a critic refers to critic IS NOT NULL; critic comments refers to critic;
13	For movie titled 'Welcome to the Dollhouse', how many percentage of the ratings were rated with highest score. rated with highest score refers to rating_score = 5; percentage = MULTIPLY(DIVIDE(SUM(rating_score = 5), COUNT(rating_score)), 100)
14	What is the percentage of rated movies were released in year 2021?. percentage = DIVIDE(SUM(movie_release_year = 2021), COUNT(rating_id)) as percent; movies released in year 2021 refers to movie_release_year = 2021;
15	Who is the director of the movie Sex, Drink and Bloodshed?. Sex, Drink and Bloodshed refers to movie title = 'Sex, Drink and Bloodshed';
16	What is the name of the most followed list?. most followed list refers to MAX(list_followers);
17	What are the URL to the list page on Mubi of the lists with followers between 1-2 and whose last update timestamp was on 2012?. URL to the list page on Mubi refers to list_url; list_followers = 1 OR list_followers = 2; last update timestamp was on 2012 refers to list_update_timestamp_utc BETWEEN '2012-1-1' AND '2012-12-31';
18	What is the list ID that was first created by user 85981819?. first created list refers to oldest list_creation_date_utc;
19	For movie id 1269, how many users, who was a paying subscriber and was eligible for trial when he rated the movie, gave the movie a rating score of less than or equal to 2?. paying subscriber refers to user_has_payment_method = 1; eligible for trial refers to user_eligible_for_trial = 1; rating_score< = 2;
20	What are the movie popularity of the movies released in 2021 that were directed by Steven Spielberg? List the names of the movies and their corresponding popularity. movie released in 2021 refers to movie_release_year = 2021; popularity refers to movie_popularity;
21	When was the first movie released and who directed it?. first movie refers to oldest movie_release_year;
22	What is the user ID of the user, who was a subscriber when he created the list, who created a list for 10 consecutive years? If there are multiple users, indicate each of their user IDs. user was a subscriber when he created the list refers to user_subscriber = 1; user who created a list for 10 consecutive years refers to user_id with list_creation_date_utc for 10 succeeding years;
23	"How many users gave ""Pavee Lackeen: The Traveller Girl"" movie a rating score of 4?. FALSE;"
24	"Was the user who created the ""World War 2 and Kids"" list eligible for trial when he created the list? Indicate how many followers does the said list has. user was eligible for trial when he created the list refers to user_eligible_for_trial = 1; number of followers a list have refers to list_followers;"
25	Which year was the third movie directed by Quentin Tarantino released? Indicate the user ids of the user who gave it a rating score of 4. third movie refers to third movie that has oldest movie_release_year;
26	What is the URL to the movie director page on Mubi of the director whose movie was critic by user 2452551 and was given 39 likes?. URL to the movie director page on Mubi refers to director_url; likes refers to critic_likes; critic_likes = 39;
27	"What is the average rating score of the movie ""When Will I Be Loved"" and who was its director?. average rating score = AVG(rating_score);"
28	How many movies were added to the list with the most number of movies? Indicate whether the user was a paying subscriber or not when he created the list. list with the most number of movies refers to MAX(list_movie_number); user_has_payment_method = 1 means the user was a paying subscriber when he created the list; user_has_payment_method = 0 means the user was not a paying subscriber when he created the list;
29	What is the name of the movie whose critic received the highest number of likes related to the critic made by the user rating the movie?. number of likes received refers to critic likes; received the highest number of likes refers to MAX(critic_likes);
30	How much is the popularity of the movie that has the highest popularity between 1920 to 1929 and when did the movie received its first rating score of 1 from the users who were a paying subscriber when they rated the movie ?. movie with highest popularity refers to MAX(movie_popularity); movie_release_year BETWEEN 1920 AND 1929; when the movie received its first rating score of 1 refers to oldest date in rating_timestamp_utc where rating score = 1; user was a paying subscriber when they rated the movie refers to user_has_payment_method = 1;
31	How many movies directed by Francis Ford Coppola have a popularity of more than 1,000? Indicate what is the highest amount of likes that each critic per movie has received, if there's any. Francis Ford Coppola refers to director_name; popularity of more than 1,000 refers to movie_popularity >1000;highest amount of likes that each critic per movie has received refers to MAX(critic_likes)
32	What is the URL to the user profile image on Mubi of the user who gave the movie id of 1103 a 5 ratinng score on 4/19/2020?. URL to the user profile image on Mubi  refers to user_avatar_image_url;  4/19/2020 refers to rating_date_utc
33	Among the lists created by user 4208563, which one has the highest number of followers? Indicate how many followers it has and whether the user was a subscriber or not when he created the list. User 4208563 refers to user_id;highest number of followers refers to MAX(list_followers); user_subscriber = 1 means that the user was a subscriber when he created the list; user_subscriber = 0 means the user was not a subscriber when he created the list (to replace)
34	Which year has the least number of movies that was released and what is the title of the movie in that year that has the highest number of rating score of 1?. least number of movies refers to MIN(movie_release_year); highest rating score refers to MAX(SUM(movie_id) where rating_score = '1')  
35	How many users, who were a paying subscriber when they rated the movie, gave the movie that was released in 1924 and directed by Erich von Stroheim a rating score of 5?. Directed by Buster Keaton refers to director_name; released in 1924 refers to movie_release_year = 1924; paying subscriber refers to user_has_payment_method = 1  
36	What is the average number of movies added to the lists of user 8516503? Give the user profile image URL on Mubi. user profile image URL refers to user_avatar_image_url; user 8516503 refers to user_id; Average refers to AVG(list_movie_number where user_id = 8516503)  
37	"How many users rated the movie ""The Magnificent Ambersons"" gave a rating score of no more than 2? List all the URL to the rating on Mubi. The Magnificent Ambersons refers to movie_title; rating score of no more than 2 refers to rating_score<2; URL to rating refers to rating_url"
38	How many users who created a list in the February of 2016 were eligible for trial when they created the list? Indicate the user id of the user who has the most number of followers in his list in February of 2016. created a list in the February of 2016 refer to list_creation_date_utc BETWEEN 2/1/2016 and 2/29/2016; eligible for trial refers to user_eligible_for_trial = 1; 
39	What is the URL to the rating on Mubi of the Riff-Raff movie that was given the highest rating score by user 22030372?. URL refer to rating_url; user 22030372 refer to user_id
40	How many directors have directed atleast 10 movies between 1960 to 1985? Indicate the name of the movie in those years of each director that received the highest amount of 5 rating score. directed at least 10 movies refers to count(direct_name)>10; 1960 to 1985 refer to movie_release_year 
41	"How many users, who were not a a trialist when they rated the movie, gave the movie ""The South"" a rating score of not more than 2?. not a trialist refer to user_trialist = 0; rating score of not more than 2 refer to rating_score <2; The South refers to movie_title "
42	"How many likes did the critic of the movie ""Apocalypse Now"" received after giving the movie a rating score of 5?. Apocalypse Now refer to movie_title; rating score refer to rating_score = '5';likes received refers to critic_likes "
